Epoch 000 | TrainLoss 0.000343 | TestLoss 0.000335
Epoch 001 | TrainLoss 0.000156 | TestLoss 0.000286
Epoch 002 | TrainLoss 0.000137 | TestLoss 0.000256
Epoch 003 | TrainLoss 0.000129 | TestLoss 0.000246
Epoch 004 | TrainLoss 0.000127 | TestLoss 0.000250
Epoch 005 | TrainLoss 0.000126 | TestLoss 0.000241
Epoch 006 | TrainLoss 0.000125 | TestLoss 0.000238
Epoch 007 | TrainLoss 0.000124 | TestLoss 0.000238
Epoch 008 | TrainLoss 0.000124 | TestLoss 0.000249
Epoch 009 | TrainLoss 0.000124 | TestLoss 0.000245
Epoch 010 | TrainLoss 0.000123 | TestLoss 0.000234
Epoch 011 | TrainLoss 0.000123 | TestLoss 0.000247
Epoch 012 | TrainLoss 0.000122 | TestLoss 0.000228
Epoch 013 | TrainLoss 0.000122 | TestLoss 0.000231
Epoch 014 | TrainLoss 0.000122 | TestLoss 0.000242
Epoch 015 | TrainLoss 0.000122 | TestLoss 0.000247
Epoch 016 | TrainLoss 0.000122 | TestLoss 0.000230
Epoch 017 | TrainLoss 0.000121 | TestLoss 0.000225
