Epoch 000 | TrainLoss 0.005380 | TestLoss 0.003276
Epoch 001 | TrainLoss 0.002348 | TestLoss 0.001918
Epoch 002 | TrainLoss 0.001782 | TestLoss 0.001716
Epoch 003 | TrainLoss 0.001641 | TestLoss 0.001587
Epoch 004 | TrainLoss 0.001511 | TestLoss 0.001443
Epoch 005 | TrainLoss 0.001381 | TestLoss 0.001409
Epoch 006 | TrainLoss 0.001276 | TestLoss 0.001244
Epoch 007 | TrainLoss 0.001183 | TestLoss 0.001149
Epoch 008 | TrainLoss 0.001095 | TestLoss 0.001052
Epoch 009 | TrainLoss 0.001013 | TestLoss 0.000970
Epoch 010 | TrainLoss 0.000937 | TestLoss 0.000954
Epoch 011 | TrainLoss 0.000867 | TestLoss 0.000890
Epoch 012 | TrainLoss 0.000802 | TestLoss 0.000764
Epoch 013 | TrainLoss 0.000742 | TestLoss 0.000776
Epoch 014 | TrainLoss 0.000685 | TestLoss 0.000645
Epoch 015 | TrainLoss 0.000634 | TestLoss 0.000592
Epoch 016 | TrainLoss 0.000591 | TestLoss 0.000588
Epoch 017 | TrainLoss 0.000555 | TestLoss 0.000571
Epoch 018 | TrainLoss 0.000527 | TestLoss 0.000489
Epoch 019 | TrainLoss 0.000503 | TestLoss 0.000462
Epoch 020 | TrainLoss 0.000482 | TestLoss 0.000524
Epoch 021 | TrainLoss 0.000466 | TestLoss 0.000438
Epoch 022 | TrainLoss 0.000452 | TestLoss 0.000438
Epoch 023 | TrainLoss 0.000443 | TestLoss 0.000503
Epoch 024 | TrainLoss 0.000434 | TestLoss 0.000428
Epoch 025 | TrainLoss 0.000428 | TestLoss 0.000465
Epoch 026 | TrainLoss 0.000424 | TestLoss 0.000479
Epoch 027 | TrainLoss 0.000422 | TestLoss 0.000405
